days, mement, link
165 , 10 ,"http://www.vox.com/2014/4/13/5610356/un-panel-heres-how-we-cut-emissions-and-avoid-a-climate-disaster"
559 , 159 ,"http://m.sfgate.com/news/article/Apple-exploring-cars-medical-devices-to-reignite-5239850.php"
169 , 3 ,"http://www.forbes.com/sites/natalierobehmed/2014/04/09/obama-names-tory-burch-reid-hoffman-as-ambassadors-for-global-entrepreneurship/"
685 , 6 ,"http://www.theamericanconservative.com/articles/the-party-of-innovation/"
291 , 5 ,"http://craigconnects.org/crowdfundinginfographic"
1722 , 6 ,"http://www.businessinsider.com/health-care-spending-growth-slow-2014-7"
34 , 3 ,"http://blogs.plos.org/speakingofmedicine/2014/08/22/global-response-ebola-fever-epidemic-took-long/"
592 , 6 ,"http://www.technologyreview.com/view/511421/the-brain-is-not-computable/"
2642 , 3 ,"http://www.oreilly.com/pub/e/3098"
186 , 156 ,"http://online.wsj.com/news/articles/SB10001424052702303795904579430794212866058"
1442 , 188 ,"http://time.com/10228/obamas-trauma-team/"
541 , 4 ,"https://peerj.com/articles/355/"
1687 , 15 ,"http://thinkprogress.org/justice/2014/02/03/3242381/republicans-trick-voters-donating-democratic-candidates/"
2029 , 6 ,"https://www.youtube.com/playlist?list=PL055Epbe6d5Y2Jzhd7eAhpXFflvRpjqjb"
1298 , 136 ,"http://leafsnap.com/"
2404 , 5 ,"http://articles.latimes.com/1985-04-03/news/mn-28445_1_san-francisco-s-skyline"
8 , 8 ,"http://www.betabrand.com/think-tank/vote/mens-business-suit-onesie-hybrid.html"
388 , 10 ,"http://blogs.telegraph.co.uk/technology/micwright/100010200/winston-churchill-on-arts-funding-how-twitter-twists-history-to-suit-modern-agendas/"
413 , 4 ,"http://svpow.com/2014/02/12/can-peerj-really-be-only-a-year-old/"
2118 , 134 ,"http://online.wsj.com/news/articles/SB10001424052702304315004579381463769362886"
6095 , 1002 ,"http://www.caller.com"
164 , 4 ,"http://govtechfund.com/"
2284 , 6 ,"https://www.youtube.com/watch?v=3aId6jSDSg0"
381 , 165 ,"https://www.kickstarter.com/discover?ref=nav"
1721 , 4 ,"http://www.danah.org/itscomplicated/book-tour/"
204 , 17 ,"http://www.bbc.com/news/science-environment-26455763"
2557 , 3 ,"http://www.fastcompany.com/person/saul-griffith"
1293 , 4 ,"http://www.thestranger.com/seattle/how-a-15-minimum-wage-would-make-everyone-richer/Content?oid=19138455"
555 , 4 ,"http://radar.oreilly.com/2014/04/toward-an-open-internet-of-things.html"
559 , 21 ,"http://www.businessinsider.com/21-enterprise-startups-to-bet-on-2014-1#planet-labs-saving-the-world-with-photos-from-space-15"
